state,court,ai_type,applies_to,source,rg_applicable_to,consequence,date,id,judge,link,name,req_certify_all,req_certify_if_ai,req_disclose,req_evidence,req_how,req_prohibited,req_prompts,req_proprietary,req_rules,req_sections,req_tool,req_verify,req_warning,summary,type
New York,S.D.N.Y.,Gen AI,Pro Se Litigants,rg,Generative AI Usage|Requires Disclosure and/or Verification|Suggests Cautious Use of AI|Applies to AI Used for Filings/Drafting,warning,2025-11,372,Judge Vernon S. Broderick,https://dockets.justia.com/docket/new-york/nysdce/1:2025cv07552/649217,S.D.N.Y. – Judge Vernon S. Broderick,,,,,,,,,,,,,checked,"In Peak v. Maraj-Petty, 2025 U.S. Dist. LEXIS 232924 (S.D.N.Y. Nov. 26, 2025), in an order continuing the stay of the case, Judge Broderick raised his concern that the pro se plaintiff was using GenAI throughout the litigation “because of his persistent misquotes and interpretation of cases.” Most recently, the plaintiff included two hallucinated quotations in an opposition letter. Though the court was sympathetic to the plaintiff’s status of representation, the plaintiff was reminded of Individual Rule of Practice in Civil Cases 4(J) that requires parties to disclose any use of AI and certify that all GenAI-drafted portions are verified and accurate.",Judicial Opinion
Connecticut,D. Conn.,Gen AI,"Attorneys,Pro Se Litigants",rg,Generative AI Usage|Applies to AI Used for Filings/Drafting|Court-Imposed Consequences - Parties,sanctions_party,2025-11,373,Judge Vernon D. Oliver,https://websitedc.s3.amazonaws.com/documents/Andre_v._Warden_USA_25_November_2025.pdf,D. Conn. – Judge Vernon D. Oliver,,,,,,,,,FRCP 11,,,,,"In Andre v. Warden, FCI Danbury, 2025 U.S. Dist. LEXIS 232986 (D. Conn. Nov. 25, 2025), the pro se petitioner filed a motion for relief from judgment that, when considered in light of other pleadings, appeared “unusually well-written and formatted for a pro se litigant” and prompted the court to think they were drafted by an attorney. Upon further review, the court discovered that the motion contained “multiple significant hallucinations” and inaccurate citations. During the hearing on the court’s order to show cause, the petitioner admitted that he heavily relied on AI tools during the drafting process and even asked some of his “friends” to “ask AI certain questions” and then have “AI ‘draft up motions.’” Judge Oliver found that the petitioner acted in “subjective bad faith,” thereby violating Rule 11 of the Federal Rules of Civil Procedure, because he made “misrepresentations to the Court as to the origins of the filings” by directing “third parties to use generative AI and then concealed his actions from the Court when given the opportunity to accept responsibility.” As sanctions, the court ultimately struck the petitioner’s motion for relief with prejudice.",Judicial Opinion
Illinois,"Ill. App. Ct., Second Dist.",Gen AI,Pro Se Litigants,rg,Generative AI Usage|Applies to AI Used for Research|Applies to AI Used for Filings/Drafting|Court-Imposed Consequences - Parties,sanctions_party,2025-11,374,Judge Susan F. Hutchinson,https://ilcourtsaudio.blob.core.windows.net/antilles-resources/resources/f6ac0721-77c7-42a7-beed-5210573aba31/Pletcher%20v.%20Village%20of%20Libertyville%20Police%20Pension%20Bd%202025%20IL%20App%20(2d)%20240416-U.pdf,Ill. App. 2d Dist. – Judge Susan F. Hutchinson,,,,,,,,,"Ill. Sup. Ct. R. 375(a),Rule 341(h)(7)",,,,,"In Pletcher v. Vill. of Libertyville Police Pension Bd., No. 2-24-0416, 2025 Ill. App. Unpub. LEXIS 2115 (Nov. 24, 2025), the court granted defendant’s motion for sanctions against the pro se plaintiff pursuant to Illinois Supreme Court Rule 375(a). Specifically, the plaintiff filed a complaint for an administrative review of the Village of Libertyville Pension Board’s decision on plaintiff’s application for disability pension and a supporting brief. The court found that the plaintiff’s brief cited to multiple cases that do not exist, and also cited to “actual cases” but with “fictitious quotes and holdings.” The court concluded that these fictitious citations were “hallucinated by [GenAI]” and that the plaintiff violated Rule 341(h)(7). As a result, the court sanctioned the plaintiff by striking plaintiff’s brief and dismissing his appeal.",Judicial Opinion
Louisiana,W.D. La.,Gen AI,Pro Se Litigants,rg,Generative AI Usage|Suggests Cautious Use of AI|Applies to AI Used for Filings/Drafting,warning,2025-11,375,Judge Terry A. Doughty,https://dockets.justia.com/docket/louisiana/lawdce/3:2025cv00239/209979,W.D. La. – Judge Terry A. Doughty,,,,,,,,,,,,,checked,"In Mills v. Rocket Mortg. LLC, 2025 U.S. Dist. LEXIS 231080 (W.D. La. Nov. 24, 2025), the court adopted the magistrate judge’s report and recommendation, and warned the plaintiffs of sanctions, including “the striking of their briefs, fines, or other appropriate actions” if they misuse GenAI tools in future filings. In doing so, Judge Doughty referred to the preceding report and recommendation issued by Magistrate Judge Kayla Dye McClusky that highlighted the plaintiffs’ presumed use of GenAI given their citations to nonexistent cases, inaccurate citations, and “mischaracterizations of cases which do exist.” See Mills v. Rocket Mortg. LLC, 2025 U.S. Dist. LEXIS 232163 (W.D. La. Nov. 6, 2025).",Judicial Opinion
California,C.D. Cal.,Gen AI,Pro Se Litigants,rg,Generative AI Usage|Requires Disclosure and/or Verification|Suggests Cautious Use of AI|Applies to AI Used for Filings/Drafting,,2025-11,376,Judge Mark C. Scarsi,https://www.courtlistener.com/docket/71850626/aris-mangasarian-v-city-of-glendale/,C.D. Cal. – Judge Mark C. Scarsi,,checked,Yes,,,,,,FRCP 11,,,,,"In Mangasarian v. City of Glendale, 2025 U.S. Dist. LEXIS 270943 (C.D. Cal. Nov. 21, 2025), the court suspected that the pro se plaintiffs “prepared certain filings with the assistance of a [GenAI] service.” The court warned the parties that any filings prepared using GenAI must include a declaration disclosing the GenAI use and certifying that the filer independently verified the accuracy of the contents as in compliance with Fed. R. Civ. P. 11. Judge Scarsi further warned that failure to follow this directive may result in sanctions. The court denied the plaintiffs’ application for a temporary restraining order on other grounds.",Judicial Opinion
Delaware,Del. Ch.,Gen AI,Pro Se Litigants,rg,Generative AI Usage|Requires Disclosure and/or Verification|Applies to AI Used for Filings/Drafting|Court-Imposed Consequences - Parties,sanctions_party,2025-11,377,Senior Magistrate Selena E. Molina,https://www.westlaw.com/Document/Ic540c5c0c9b711f0abd5f9ee6b47872e/View/FullText.html?transitionType=Default&contextData=(sc.Default)&VR=3.0&RS=cblt1.0,Del. Ch. – Senior Magistrate Selena E. Molina,,checked,Yes,,checked,,,,Ct. Ch. R. 11,,checked,checked,,"In Gupta v. Safko et al., No. CV 2024-1296-SEM, 2025 WL 3269046, at *1 (Del. Ch. Nov. 21, 2025), the court denied defendants’ request that pro plaintiff should be sanctioned. Although the court concluded that the plaintiff’s filings “do appear to have been generated through GenAI,” because of his pro se status and the fact that there was no “clear showing” of hallucinations or “glaring” misrepresentations, the court ultimately declined to impose sanctions. Senior Magistrate Molina did, however, order that the plaintiff must not only “ensure every future filing” is accurate, but also “certify any future use of GenAI” to the court by identifying what GenAI tool was used and how, and that it was reviewed for accuracy.",Judicial Opinion
Delaware,Del. Ch.,Gen AI,Pro Se Litigants,rg,Generative AI Usage|Suggests Cautious Use of AI|Applies to AI Used for Filings/Drafting,warning,2025-11,378,Senior Magistrate Judge Selena E. Molina,https://law.justia.com/cases/delaware/court-of-chancery/2025/c-a-no-2024-1296-sem.html,Del. Ch. Ct. – Senior Magistrate Judge Selena E. Molina,,checked,Yes,,,,,,FRCP 11,,,,checked,"In Anuj Gupta v. Safko, 2025 Del. Ch. LEXIS 2041 (Del. Ch. Nov. 21, 2025), the defendants requested sanctions under Court of Chancery Rule 11, as the pro se plaintiff seemingly generated his filings with a GenAI tool. Judge Molina indicated that this conduct “raises several concerns about the Plaintiff’s ability to satisfy Rule 11’s dictates,” wastes parties’ and the court’s resources, and poses “reputational harms to the legal system.” However, given the plaintiff’s pro se status and lack of “any clear showing of hallucinations or glaring legal or factual misrepresentations in his filings,” the court declined to impose sanctions. Nevertheless, the court did order the plaintiff to certify any future use of GenAI and warned that “this leniency will not continue” should the plaintiff fail to comply with the court’s certification requirement.",Judicial Opinion
Ohio,E.D. Ohio,Gen AI,"Attorneys,Pro Se Litigants",rg,Generative AI Usage|Applies to AI Used for Research|Applies to AI Used for Filings/Drafting|Court-Imposed Consequences - Parties,sanctions_party,2025-11,379,Judge Benita Y. Pearson,https://law.justia.com/cases/federal/district-courts/ohio/ohndce/4:2025cv02361/322211/13/,E.D. Ohio – Judge Benita Y. Pearson,,,,,,,,,,,,,checked,"In Izquierdo v. Wipro Ltd., 2025 U.S. Dist. LEXIS 231341 (N.D. Ohio Nov. 21, 2025), in denying the pro se plaintiff’s renewed motion for a temporary restraining order and emergency motion to expedite a ruling, the court discussed the plaintiff’s “false, likely hallucinated” citation from a previous motion and warned him that “continuing to flood the docket with frivolous motions, oppositions, and filings will subject him to sanctions,” including costs, attorney fees, and “a permanent injunction from filing new documents in this dispute or the dismissal of the dispute.”",Judicial Opinion
Minnesota,"Minn. Dist. Ct., Hennepin Cnty.",Gen AI,Attorneys,rg,Generative AI Usage|Requires Disclosure and/or Verification|Suggests Cautious Use of AI|Applies to AI Used for Filings/Drafting|Court-Imposed Consequences - Attorneys/Law Firms,sanctions_attorney,2025-11,380,Judge Laurie J. Miller,https://law.justia.com/cases/minnesota/court-of-appeals/2016/a15-1778.html,Minn. Dist. – Judge Laurie J. Miller,,,,,,,,,,,,,checked,"In Nuvola, LLC v. Wright, 2025 Minn. Dist. LEXIS 5940 (Minn. Dist. Nov. 21, 2025), the defendant’s counsel “cited multiple non-existent cases” in his motion to compel arbitration. The court set a hearing for the defendant’s attorney to explain the non-existent caselaw, and for the plaintiff’s counsel to explain why he did not bring the issue to the court’s attention. In response, the defendant’s counsel apologized to the court for submitting non-existent citations, and admitted to using GenAI but claimed that he expected the program to generate a brief only using the verified cases he had provided it. Judge Miller concluded that the attorney’s conduct violated Minn. R. Civ. P. 11.02(b)’s requirement that an attorney certifies, in presenting a document to the court, that “the claims, defenses, and other legal contentions there are warranted by existing law,” and Minn. Stat. § 549.211’s requirement that pleadings are grounded in law. As sanction, the court referred the defendant’s attorney to the Minnesota Lawyers Professional Responsibility Board; directed him to “conduct five (5) presentations to lawyers and/or law students on the dangers of using artificial intelligence in the legal profession”; and imposed a financial penalty of $1,000. The court also noted that the plaintiff’s counsel “offered little explanation for his failure to check the citations in Defendant’s brief.” While the court did not sanction the plaintiff’s attorney, Judge Miller “remind[ed] counsel that it is the obligation of counsel on both sides to respond to each other's arguments, including completing a basic cite-check of the cases cited by the other side.”",Judicial Opinion
Florida,S.D. Fla.,Gen AI,Attorneys,rg,Generative AI Usage|Applies to AI Used for Filings/Drafting|Court-Imposed Consequences - Attorneys/Law Firms,sanctions_attorney,2025-11,381,Judge Rodolfo A. Ruiz II,https://legalaigovernance.com/tracker/cases/alexey-dubinin-v-varsenik-papazian/,S.D. Fla. – Judge Rodolfo A. Ruiz II,,,,,,,,,28 U.S.C. § 1927,,,,,"In Dubinin v. Papazian, No. 25-CV-23877-RAR, 2025 U.S. Dist. LEXIS 229362 (S.D. Fla. Nov. 21, 2025), following the court’s orders to show cause why plaintiff’s counsel should not be sanctioned for “cites to non-existent cases and quotations in a brief that appeared to be drafted using [GenAI],” plaintiff’s attorney denied using AI, but “admitted to filing a brief riddled with inaccuracies,” claiming the drafting had been delegated to another attorney. The court reviewed the two attorneys’ other filings in different matters and found that the two attorneys had previously been caught submitting filings that “may have been drafted using [GenAI].” Because of the filing attorney’s “misconduct in this case and others, including her misrepresentations to the Court,” and the fact that her “use of AI was ‘so egregious that this Court finds that [it was] done in bad faith,’” the court concluded that sanctions are appropriate under the court’s inherent powers, Local Rule 6(b)(2)(A) of the Southern District of Florida, and 28 U.S.C. § 1927. The court ultimately struck plaintiff’s complaint and dismissed the action without prejudice, ordered the filing attorney to pay defendant’s attorney fees, and referred both the filing and drafting attorneys to the Florida Bar and Grievance Committee.",Judicial Opinion
Florida,S.D. Fla.,Gen AI,Pro Se Litigants,rg,Generative AI Usage|Suggests Cautious Use of AI|Applies to AI Used for Filings/Drafting,warning,2025-11,382,Magistrate Judge William Matthewman,https://dockets.justia.com/docket/florida/flsdce/9:2025cv80890/693513,S.D. Fla. – Magistrate Judge William Matthewman,,,,,,,,,,,,,checked,"In Clayman v. Bessant, 2025 U.S. Dist. LEXIS 232878 (S.D. Fla. Nov. 21, 2025), the pro se plaintiff admitted that the only cited case in his motion to alter or amend an order was an “AI-generated hallucination.” The court noted that the plaintiff is permitted to use AI for drafting assistance but must ensure that all cases are accurate. Judge Matthewman also provided a “final warning” that the plaintiff could face sanctions and a restricted filing if he continues to misuse AI. The court ultimately denied plaintiff’s motion to alter or amend a judgment.",Judicial Opinion
New York,N.Y. Sup. Ct.,Gen AI,Attorneys,rg,Generative AI Usage|Applies to AI Used for Filings/Drafting|Court-Imposed Consequences - Attorneys/Law Firms,sanctions_attorney,2025-11,383,Judge Wayne M. Ozzi,https://law.justia.com/cases/new-york/other-courts/2025/2025-ny-slip-op-25245.html,"Supreme Court of N.Y.S., Richmond County – Judge Wayne M. Ozzi",,,,,,,,,,,,,,"In Grymes Dev. Co. v. Fodera, 2025 NYLJ LEXIS 3543, 2025 LX 552729, the court concluded that the third-party plaintiff’s counsel cited “a non-existent case citation and non-existent quotations . . . as a result of his reliance on [GenAI]” following the third-party plaintiff’s motion for summary judgment. Although the court acknowledged the potential benefits of GenAI, it held that the error “cannot be considered minimal” because attorneys have ethical duties to not make false statements to the court. The court therefore denied the summary judgment motion with prejudice, ordered the third-party plaintiff’s attorney to pay a $2,000 sanction, and ordered the counsel to reimburse the third-party defendants’ legal fees.",Judicial Opinion
Alabama,Bankr. M.D. Ala.,Gen AI,Attorneys,rg,Generative AI Usage|Applies to AI Used for Filings/Drafting|Court-Imposed Consequences - Attorneys/Law Firms,sanctions_attorney,2025-11,384,Judge Christopher L. Hawkins,https://www.govinfo.gov/app/details/USCOURTS-almb-2_25-bk-30256/USCOURTS-almb-2_25-bk-30256-0,Bankr. M.D. Ala. – Judge Christopher L. Hawkins,,,,,,,,,28 U.S.C. § 1927,,,,,"In In re Jackson Hosp. & Clinic, No. 25-30256-CLH, 2025 Bankr. LEXIS 3039 (Bankr. M.D. Ala. Nov. 20, 2025), the court issued an order for an attorney and her law firm (who were representing a creditor in a bankruptcy proceeding) to show cause why they should not be sanctioned for the repeated misuse of GenAI in court filings. Specifically, following the creditor’s filing of a related motion, the court observed that cited regulations “did not stand for the legal propositions” for which they were cited, noted that one attorney in particular had also previously cited caselaw that did not stand for the principle she cited it for, and pointed out that the party’s supporting briefs for a motion to reconsider the court’s decision also “continued to miscite authorities, and [the party’s supplemental brief] even recycled a fabricated quote” from another filing. In response to the court’s show cause order, the law firm conducted an investigation into the offending attorney’s other matters and concluded that she had also included a GenAI-created hallucination in a separate court filing. The attorney eventually admitted that she had “misled the Court” by previously denying the use of GenAI in connection with the filing, when in fact she “was aware [GenAI] was used by someone other than an associate at the Firm.” The court cited Alabama Ethics Rules 1.1, 3.1, and 3.3, 28 U.S.C. § 1927, Bankruptcy Rule 9011, and Bankruptcy Section 105(a), and the court’s inherent authority in concluding that while sanctions were not appropriate for the law firm, “the Court will impose a certification requirement on the Firm” to ensure that it takes further necessary steps to “prevent future abuse” of GenAI. The court did, however, find that sanctions were appropriate against the specific offending attorney, and publicly reprimanded her, ordered her to inform her clients, opposing counsel, and every court in which she is counsel of this opinion within 31 days, revoked the attorney’s pro hac vice status, and ordered the attorney must provide the clerk of court with a listing of jurisdictions in which she is licensed to practice law within 24 hours of the court’s order.",Judicial Opinion
Washington,E.D. Wash.,Gen AI,Pro Se Litigants,rg,Generative AI Usage|Applies to AI Used for Filings/Drafting,warning,2025-11,385,Judge Stan Bastian,https://www.courtlistener.com/docket/69715881/dam-v-waldron/,E.D. Wash. – Judge Stan Bastian,,,,,,,,,,,,,checked,"In Dam v. Waldron (In re Giga Watt Inc.), No. 2:25-CV-00077-SAB, 2025 U.S. Dist. LEXIS 228861 (E.D. Wash. Nov. 20, 2025), the court ruled on the parties’ various appellate motions in a bankruptcy proceeding. Appellee asked the court to issue an order for the pro se appellant to show cause why he should not be sanctioned on the grounds that the appellant made misrepresentations and “submitted fabricated legal theory generated by [GenAI].” The court concluded that in light of the appellant’s pro se status, because the court previously dismissed the action in appellee’s favor, and because there were no allegations that that “cases were completely fabricated or otherwise ‘hallucinated’ by AI,” sanctions were not warranted, and the court denied appellee’s motion.",Judicial Opinion
California,N.D. Cal.,Gen AI,Attorneys,rg,Generative AI Usage|Applies to AI Used for Filings/Drafting|Court-Imposed Consequences - Attorneys/Law Firms,sanctions_attorney,2025-11,386,Magistrate Judge Nathanael M. Cousins,https://dockets.justia.com/docket/california/candce/5:2023cv01121/409525,N.D. Cal. – Magistrate Judge Nathanael M. Cousins,,,,,,,,,FRCP 11,,,,,"In Buchanan v. Vuori, Inc., Case No. 23-cv-01121-NC (N.D. Cal. Nov. 20, 2025), following the court’s order to show cause why plaintiff’s counsel should not be sanctioned for the inclusion of “false case quotations,” the attorney admitted to using “about six different AI tools to prepare his motion” (“ChatGPT-4, OpenAI, Claude and Claude Code, Clear Brief, Lexis Nexis, and Westlaw,” ECF 92 at 2), but admitted that “the AI tools failed to catch one another’s hallucinations.” The court opined that “[u]sing AI to check the work of AI was not a reasonable inquiry” into the facts and law, and that the attorney violated Federal Rule of Civil Procedure 11, Civil Local Rule 11-4, and California Rule of Professional Conduct 3.3. The court made clear that it was not his “use of AI that violated Rule 11, but rather his failure to conduct a reasonably inquiry into the law cited in his motion.” The court therefore imposed the following sanctions: striking plaintiff’s second motion for preliminary approval of a class action settlement and corrected motion without leave to refile; ordered plaintiff’s counsel to pay $250 to the clerk of court; referred counsel to the Court’s Standing Committee on Professional Conduct; and found the attorney inadequate to serve as class counsel.",Judicial Opinion
Connecticut,D. Conn.,Gen AI,"Attorneys,Pro Se Litigants",rg,Generative AI Usage|Applies to AI Used for Filings/Drafting|Court-Imposed Consequences - Attorneys/Law Firms,sanctions_attorney,2025-11,387,Judge Janet C. Hall,https://www.courtlistener.com/docket/68114765/authorities/cojom-v-roblen-llc/,,,,,,,,checked,,FRCP 11,,,,,"In Cojom v. Roblen, LLC., 2025 U.S. Dist. LEXIS 225325 (D. Conn. Nov. 19, 2025), the court imposed a $500 sanction on plaintiff's counsel for relying on citations generated by Descrybe.AI, a legal research tool (Opinion at *1), in his memorandum in opposition to defendant’s motion to set aside default. The court suspected GenAI use because counsel cited three authorities that the court “could not locate despite its best efforts.” In response to Judge Hall's order to show cause, counsel admitted to using GenAI for legal research and expressed “sincere and unreserved apology,” noting that the many familiar cases the tool generated provided him a “false sense of confidence in the AI tool’s accuracy.” This led him to the “deeply flawed” assumption that the rest of the citations were also valid. Counsel stated that he was “committed to ensuring that this type of error does not recur and to maintaining the highest standards of accuracy, candor, and professionalism in [his] future conduct before this Court and all others.” At the show cause hearing, plaintiff’s counsel explained that he cancelled his license for the tool, underwent training on the risks of GenAI use, and committed to cease all use of GenAI in his practice. In imposing sanctions, the court noted the harm flowing from GenAI use in this case, including that the plaintiff was “deprived of arguments based on legitimate judicial precedent and his pro se opponent was forced to contend with arguments based on phony law without the benefit of legal representation,” along with the court’s expended time and resources in investigating the citations. Judge Hall explained that “submitting fake citations is more than just sloppy lawyering: it imperils the integrity of our judicial process.” The court acknowledged that GenAI is increasingly used in legal research and did not intend a “Luddite attack on technology,” but rather a warned that the unsophisticated tool “must necessarily yield to a lawyer’s obligation of candor to the court.” Thus, Judge Hall found that failing to verify the citations violated Fed. R. Civ. P. 11, and concluded it must sanction such conduct “which, if left unchecked, poses serious risk to the integrity of the judicial system.” After weighing the seriousness of the misconduct against counsel’s apology and steps to prevent error in the future, the court ordered a $500 monetary sanction",Judicial Opinion
California,Bankr. C.D. Cal.,Gen AI,Any Parties,rg,Generative AI Usage|Applies to AI Used for Filings/Drafting|Requires Disclosure and/or Verification|Applies to AI Used for Research,,2025-11,388,Judge Christopher B. Latham,https://www.casb.uscourts.gov/sites/casb/files/documents/general-orders/General%20Order%20210_2025-11-18.pdf,Bankr. C.D. Cal. – Judge Christopher B. Latham,,checked,Yes,,,,,,,,checked,checked,,"Judge Latham’s standing order, titled “Filings Using Generative Artificial Intelligence,” requires that any pleading, motion, or paper “prepared in any aspect” by a GenAI tool include an attestation or certification signed by the filing party which identifies the AI program used and certifies that the filing party reviewed the documents for accuracy using “reliable means.”",Standing Order
Texas,E.D. Tex.,Gen AI,Pro Se Litigants,rg,Generative AI Usage|Suggests Cautious Use of AI|Applies to AI Used for Filings/Drafting,warning,2025-11,389,Magistrate Judge Bill Davis,https://dockets.justia.com/docket/texas/txedce/4:2025cv00563/238219,E.D. Tex. – Magistrate Judge Bill Davis,,,,,,,,,FRCP 11,,,,checked,"In Moorehead v. Goodwill Indus. of Ne. Tex., 2025 U.S. Dist. LEXIS 226249 (E.D. Tex. Nov. 18, 2025), three out of the five cases that the pro se plaintiff cited in her response to defendant's motion to dismiss either did not exist or were incorrect. While cases with the same names as the two of the nonexistent cases existed, the court found that the Westlaw citations provided by the plaintiff linked to cases with different names and did not stand for the same proposition as plaintiff used them for in her response. One of the cited cases did not exist at all. Suspecting GenAI use, Magistrate Judge Davis warned that “[c]iting hallucinated cases undermines the integrity of the judiciary and the court's trust in litigants” is “unacceptable,” and is contrary to Fed. R. Civ. P. 11(b)(2) and Local Rule CV-11(g), which requires accuracy and quality of documents submitted to the court. The court warned that if the plaintiff files another document with “hallucinated or otherwise nonexistent citations,” it will impose sanctions.",Judicial Opinion
Indiana,S.D. Ind.,Gen AI,Pro Se Litigants,rg,Generative AI Usage|Suggests Cautious Use of AI|Applies to AI Used for Filings/Drafting,warning,2025-11,390,Magistrate Judge Crystal S. Wildeman,https://dockets.justia.com/docket/indiana/insdce/1:2025cv01579/223569,S.D. Ind. – Magistrate Judge Crystal S. Wildeman,,,,,,,,,,,,,checked,"In Nellum v.Credit Acceptance Corp., No. 1:25-cv-01579-TWP-CSW, 2025 U.S. Dist. LEXIS 227441 (S.D. Ind. Nov. 18, 2025), the court ruled on motions to compel arbitration, to strike, and to file a sur-reply, as well as an emergency motion. In its order, the court noted that the pro se plaintiff cited to a case that “does not exist.” Although the plaintiff claimed she “did not fabricate citations,” she admitted that some citations may have been “‘imperfect.’” The court declined to impose sanctions, but warned that “‘pro se litigants are not excused from compliance with the procedural rules,’” and reminded the plaintiff that “submitting hallucinated citations . . . is unacceptable.”",Judicial Opinion
California,"Cal. Ct. App., Fourth Dist.",Gen AI,Attorneys,rg,Generative AI Usage|Applies to AI Used for Filings/Drafting|Court-Imposed Consequences - Attorneys/Law Firms,sanctions_attorney,2025-11,391,Judge Frank J. Menetrez,https://law.justia.com/cases/california/court-of-appeal/2025/e083744.html,Cal. Ct. App. – Judge Frank J. Menetrez,,,,,,,,,,,,,,"In Schlichter v. Kennedy, 2025 Cal. App. LEXIS 740 (Nov. 17, 2025), the court found that sanctions were warranted for appellant’s counsel for “relying on fabricated legal authority” in his writ of supersedeas and opening brief, in violation of California Rules of Court 8.204(a)(1)(B). The rule provides that each brief must be supported “by argument and, if possible, by citation of authority.” Counsel’s opening brief and writ contained two and three citations, respectively, to cases that do not exist. The nonexistent cases shared the names of existing cases, but the other parts of the citation were incorrect, and the real cases did not support counsel’s arguments. Judge Menetrez ordered counsel to provide official copies of the fabricated cases. Counsel asserted that he meant to cite the existing cases: he provided copies of the real cases that matched the fabricated case names but failed to address the fact that the volume, page numbers, and legal propositions were different than those in the cases he cited. In response to the court’s subsequent order to show cause, counsel reasserted this position. He admitted to accidentally misciting the cases “at the reporter/volume/page level” but argued that the cases were real California cases, that the errors were merely “clerical in nature,” and rejected as “entirely untrue” the allegation that he used “‘AI hallucination’ cases.” At a hearing, however, counsel admitted that he regenerated the brief using GenAI to reorganize it but stated that he could not recall whether he used GenAI in preparing the writ (after initially denying using “any AI whatsoever” to generate the writ). However, he continued to maintain that the errors were not the result of GenAI use. The court did not find these assertions credible. Judge Menetrez noted that “[t]he spurious citations do not involve the mere omission or addition or transposition of one or several digits,” but were “completely different from the correct citations for the actually existing cases that have those case names.” Furthermore, the real cases supported legal propositions so different than those in counsel’s filings that “it would make no sense for [him] to claim that he intended to cite the actually existing cases to support those legal propositions.” Judge Menetrez also found that counsel lacked “candor and credibility” in other parts of his response. The court highlighted the importance of ensuring each citation is correct and honesty to the court, issuing the attorney $1,750 in sanctions.",Judicial Opinion
South Dakota,D.S.D.,Gen AI,Pro Se Litigants,rg,Generative AI Usage|Suggests Cautious Use of AI|Applies to AI Used for Filings/Drafting,warning,2025-11,392,Judge Robert A. Lange,https://www.courtlistener.com/docket/70225059/mattson-v-rosebud-electric-cooperative/,D.S.D. – Judge Robert A. Lange,,,,,,,,,,,,,checked,"In Mattson v. Rosebud Elec. Coop., No. 3:25-CV-03008-RAL, 2025 U.S. Dist. LEXIS 227636 (D.S.D. Nov. 17, 2025), in an order granting defendants’ joint motion to dismiss claims brought by pro se plaintiffs, the court also addressed defendant’s contention that the plaintiffs’ response brief contained “‘fictitious cases, incorrect case citations, and non-existent quotations.’” The court also observed that both the formatting and inclusion of incorrect citations in plaintiffs’ brief “seemed to suggest the use of [GenAI],” but the court ultimately declined to sanction plaintiffs, as they submitted a corrected filing. The court, however, warned the plaintiffs to ensure they review and abide by Federal Rule of Civil Procedure 11(b) in future filings.",Judicial Opinion
Colorado,D. Colo.,Gen AI,Attorneys,rg,Generative AI Usage|Applies to AI Used for Filings/Drafting|Court-Imposed Consequences - Attorneys/Law Firms,sanctions_attorney,2025-11,393,Judge Nina Y. Wang,https://dockets.justia.com/docket/colorado/codce/1:2025cv02269/245701,D. Colo. – Judge Nina Y. Wang,,,,,,,,,"FRCP 11, 28 U.S.C. § 1927",,,,,"In Lewis v. Eagle County Government, No. 1:25-cv-02269-NYW-NRN (D. Colo. Nov. 14, 2025), Dkt. No. 32, the court ruled on an order to show cause, denied the plaintiff’s motion to file an amended complaint, and addressed the defendant’s opposition to the plaintiff’s second motion for leave to file an amended complaint, which raised several concerns with the plaintiff’s inaccurate citations and citations to nonexistent cases in his first amended complaint. Dkt No. 20 at 6-10. Though the plaintiff filed a notice of voluntary dismissal without prejudice, the court issued an order to show cause as to why the action should not be dismissed with prejudice and as to why the plaintiff and his attorney should not be sanctioned for GenAI misuse. Dkt. No. 24. The court’s decision on the order to show cause discussed the several errors that “bear the hallmarks of generative artificial intelligence,” including incorrect party names, court reports, courts, years, and case assertions and found “no doubt that [plaintiff’s counsel] did not engage in an inquiry reasonable under the circumstances.” Dkt. No. 32 at 12. During the hearing on the order to show cause, the plaintiff’s counsel attributed these mistakes to her general disorganization and law firm office closing, but the court found these to be insufficient as she has made various errors that have “plagued Plaintiff’s pleadings since the inception of this case.” Id. at 12-13, 15. Judge Wang ruled that the plaintiff’s counsel violated Rule 11 of the Federal Rules of Civil Procedure and imposed a $3,000 fine jointly and severally against the plaintiff’s counsel and her law firm. Id. at 16. Additionally, as the plaintiff’s counsel’s misrepresentations have imposed “unwarranted costs” on a public entity, the court found “reasonable attorney’s fees” under 28 U.S.C. § 1927 to be appropriate and recommended that the parties meet and confer as to the requested amount pursuant to Local Rule 54.3. Id. at 20. The award of attorney’s fees, according to Judge Wang, would be a sufficient remediation that would render dismissal with prejudice inappropriate. Id. at 21.",Judicial Opinion
Pennsylvania,E.D. Pa.,Gen AI,Attorneys,rg,Generative AI Usage|Suggests Cautious Use of AI|Applies to AI Used for Filings/Drafting,warning,2025-11,394,Judge Gail A. Weilheimer,https://law.justia.com/cases/federal/district-courts/pennsylvania/paedce/2:2025cv00515/632882/83/,E.D. Pa. – Judge Gail A. Weilheimer,,,,,,,,,,,,,checked,"In Master Textile Mills, Ltd. v. RSA Global Logistics, LLC, No. 2:25-cv-00515-GAW, Dkt. No. 49 at 2 (E.D. Pa. Nov. 13, 2025), the plaintiff’s motion for summary judgment included a citation to an inappropriate local rule for an unrelated matter. This citation “create[d] suspicion” that the plaintiff’s counsel “is relying heavily” on GenAI, and Judge Weilheimer warned the attorney to ensure that all future filings contain accurate citations to avoid sanctions. Id.",Judicial Opinion
